dataset_id,task_id,role,graph_eligible,task_panel_eligible,future_task_eligible,boundary_status,boundary_evidence,ceiling_status,measurement_state_policy,n_groups,present_frac,exact_frac,censored_frac,boundary_ambiguous_frac,missing_frac,informative_fraction,usable_uncertainty,degree_topology,d_present_mean,d_informative_mean,source_hash,processed_hash,inclusion_exclusion_reason
Phillips2021_CR9114,fluB,single_task_control,True,False,False,explicit,assay_detection,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,65536,100.0,0.44,99.55,0.0,0.0,0.25,100.0,16,15.9995,0.04,cr9114.csv=ee31f8fc26fce2730d2ae772e7a095aa334b4c6c5d8e7fbfe4b4a5a1c9a794fe,b7f28640ec7855782e2f8b82768faf2f82e56e932224fb63e20a399f4f4d7878,informative_frac=0.25% < 50%（CL-9 主任务门槛）
Phillips2021_CR9114,h1,single_task_control,True,False,True,explicit,assay_detection,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,65536,99.33,98.66,0.67,0.0,0.67,95.77,99.33,16,15.8921,15.3228,cr9114.csv=ee31f8fc26fce2730d2ae772e7a095aa334b4c6c5d8e7fbfe4b4a5a1c9a794fe,b7f28640ec7855782e2f8b82768faf2f82e56e932224fb63e20a399f4f4d7878,结构上可作 future task（M4-pre gates pending: CL-5 task-similarity (Spearman rho <= 0.9) and C9 identifiability (G-FTI)）
Phillips2021_CR9114,h3,single_task_control,True,False,False,explicit,assay_detection,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,65536,100.0,11.3,88.69,0.0,0.0,9.68,100.0,16,15.9998,1.5488,cr9114.csv=ee31f8fc26fce2730d2ae772e7a095aa334b4c6c5d8e7fbfe4b4a5a1c9a794fe,b7f28640ec7855782e2f8b82768faf2f82e56e932224fb63e20a399f4f4d7878,informative_frac=9.68% < 50%（CL-9 主任务门槛）
Phillips2023_HA_CH65,G189E,strict_multi_task,True,False,True,inferred,assay_detection,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,65535,97.41,82.99,0.0,14.42,2.59,82.62,97.41,16,15.5859,13.2194,phillips2023.xlsx=f25dc119488fe1675a2ac8d69234512fd800054e9453d4271a6f3fe32d60b094,64f97245b715346690856cff8ee86a949ef91f1378fe187214df7b18cafc81b9,结构上可作 future task（M4-pre gates pending: CL-5 task-similarity (Spearman rho <= 0.9) and C9 identifiability (G-FTI)）
Phillips2023_HA_CH65,MA90,strict_multi_task,True,False,True,none,none,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,65535,99.99,99.99,0.0,0.0,0.01,99.99,99.99,16,15.9985,15.9985,phillips2023.xlsx=f25dc119488fe1675a2ac8d69234512fd800054e9453d4271a6f3fe32d60b094,64f97245b715346690856cff8ee86a949ef91f1378fe187214df7b18cafc81b9,结构上可作 future task（M4-pre gates pending: CL-5 task-similarity (Spearman rho <= 0.9) and C9 identifiability (G-FTI)）
Phillips2023_HA_CH65,SI06,strict_multi_task,True,False,False,inferred,assay_detection,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,65535,98.6,50.5,0.0,48.1,1.4,43.5,98.6,16,15.7761,6.9596,phillips2023.xlsx=f25dc119488fe1675a2ac8d69234512fd800054e9453d4271a6f3fe32d60b094,64f97245b715346690856cff8ee86a949ef91f1378fe187214df7b18cafc81b9,informative_frac=43.50% < 50%（CL-9 主任务门槛）
Phillips2023_HA_CH65,expression,strict_multi_task,True,False,False,none,none,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,65536,100.0,100.0,0.0,0.0,0.0,100.0,100.0,16,16.0,16.0,phillips2023.xlsx=f25dc119488fe1675a2ac8d69234512fd800054e9453d4271a6f3fe32d60b094,64f97245b715346690856cff8ee86a949ef91f1378fe187214df7b18cafc81b9,auxiliary modality: 不是 functional task（AMENDMENT-009 §4）→ 不作 future task
TEM-1CML,AMP,strict_multi_task,True,False,True,inferred,transformation,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,331764,100.0,99.84,0.0,0.16,0.0,99.23,100.0,18,17.999,17.1907,amp_auc_wide_df.parquet=d4107c7d90af4762c179fd9a2864cd790e4bf516692e7b3450c7ddfa1eaf29a4 | azt_auc_wide_df.parquet=bee045975896d8a2f140e010816f84cdf5872e4670d7d70a13e6e21f912323b2,f023424e416e7c69e91902ef95d343657323a6047a52a067664163efbf6ee6c6,结构上可作 future task（M4-pre gates pending: CL-5 task-similarity (Spearman rho <= 0.9) and C9 identifiability (G-FTI)）
TEM-1CML,AZT,strict_multi_task,True,False,True,inferred,transformation,not_reached,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,442352,100.0,100.0,0.0,0.0,0.0,99.99,100.0,18,17.999,17.9958,amp_auc_wide_df.parquet=d4107c7d90af4762c179fd9a2864cd790e4bf516692e7b3450c7ddfa1eaf29a4 | azt_auc_wide_df.parquet=bee045975896d8a2f140e010816f84cdf5872e4670d7d70a13e6e21f912323b2,f023424e416e7c69e91902ef95d343657323a6047a52a067664163efbf6ee6c6,结构上可作 future task（M4-pre gates pending: CL-5 task-similarity (Spearman rho <= 0.9) and C9 identifiability (G-FTI)）
DAOx_multi_substrate,(not materialized in M2),task_panel,False,True,False,,,,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,,,,,,,,,,,,not_available,not_available,boundary_status=empty：边界未定，不得产出边界删失
TEV_ProtRec,(not materialized in M2),task_panel,False,True,False,,,,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,,,,,,,,,,,,not_available,not_available,boundary_status=empty：边界未定，不得产出边界删失
DAOx_multi_substrate,D-Ala,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,6417,1.0,,0,0,0,1.0,1.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
DAOx_multi_substrate,D-Asn,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,6417,1.0,,0,0,0,1.0,1.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
DAOx_multi_substrate,D-Gln,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,6417,1.0,,0,0,0,1.0,1.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
DAOx_multi_substrate,D-Met,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,6417,1.0,,0,0,0,1.0,1.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
DAOx_multi_substrate,D-Phe,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,6417,1.0,,0,0,0,1.0,1.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,*NQYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,1,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ANLYFNS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,604,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ANLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,990,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,CNLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3134,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,DNLIFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,510,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,DNLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2533,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EALYFHS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,292,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EALYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2771,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ECLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3570,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EDLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2618,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EDLYSQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,761,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EELCFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,575,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EELYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3112,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EFLYFQN,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,593,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EFLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,1668,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EGLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2573,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EHLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2513,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EHLYSQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,1780,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EILYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3596,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EKLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3185,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ELLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2793,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,EMLYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2954,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENAYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3449,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENCYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3315,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENDYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3902,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENEYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3725,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENFYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,3352,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENGYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2999,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENHYFQS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,2892,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
TEV_ProtRec,ENIYFIS,task_panel,False,True,False,unresolved,none,not_documented,primary: only censored(censoring_evidence=explicit) treated as censored; no boundary_ambiguous rows in this task,794,1.0,,0,0,0,0.0,0.0,,,,not_available,not_available,task_panel：无合法 combinatorial neighborhood → 只允许 coverage 类输出，禁止任何 degree 字段（AMENDMENT-009 §5 / 011 §6.1）
