dataset_id,graph_eligible,n_groups,task_condition,task_panel_tier
Phillips2021_CR9114,,65536,fluB@default,
Phillips2021_CR9114,,65536,h1@default,
Phillips2021_CR9114,,65536,h3@default,
Phillips2023_HA_CH65,,65535,G189E@default,
Phillips2023_HA_CH65,,65535,MA90@default,
Phillips2023_HA_CH65,,65535,SI06@default,
Phillips2023_HA_CH65,,65536,expression@default,
TEM-1CML,,55294,AMP@0.0,
TEM-1CML,,55294,AMP@12.2,
TEM-1CML,,55294,AMP@195.0,
TEM-1CML,,55294,AMP@3.1,
TEM-1CML,,55294,AMP@48.8,
TEM-1CML,,55294,AMP@781.0,
TEM-1CML,,55294,AZT@0.0,
TEM-1CML,,55294,AZT@0.44,
TEM-1CML,,55294,AZT@1.33,
TEM-1CML,,55294,AZT@108.0,
TEM-1CML,,55294,AZT@12.0,
TEM-1CML,,55294,AZT@324.0,
TEM-1CML,,55294,AZT@36.0,
TEM-1CML,,55294,AZT@4.0,
DAOx_multi_substrate,False,6417,D-Ala,eligible_for_formal_task_level_evaluation
DAOx_multi_substrate,False,6417,D-Asn,eligible_for_formal_task_level_evaluation
DAOx_multi_substrate,False,6417,D-Gln,eligible_for_formal_task_level_evaluation
DAOx_multi_substrate,False,6417,D-Met,eligible_for_formal_task_level_evaluation
DAOx_multi_substrate,False,6417,D-Phe,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1,*NQYFQS,exclude_from_task_level_inference
TEV_ProtRec,False,604,ANLYFNS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,990,ANLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3134,CNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,510,DNLIFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2533,DNLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,292,EALYFHS,descriptive_sensitivity_only
TEV_ProtRec,False,2771,EALYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3570,ECLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2618,EDLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,761,EDLYSQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,575,EELCFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3112,EELYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,593,EFLYFQN,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1668,EFLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2573,EGLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2513,EHLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1780,EHLYSQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3596,EILYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3185,EKLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2793,ELLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2954,EMLYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3449,ENAYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3315,ENCYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3902,ENDYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3725,ENEYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3352,ENFYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2999,ENGYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2892,ENHYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,794,ENIYFIS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2292,ENIYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2405,ENKYFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2574,ENLAFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2422,ENLCFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,674,ENLCFRG,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3999,ENLDFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3200,ENLEFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,4120,ENLFFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1717,ENLGFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3470,ENLHFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2871,ENLIFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3821,ENLKFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2573,ENLLFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2224,ENLMFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3883,ENLNFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3256,ENLPFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2726,ENLQFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2835,ENLRFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,9,ENLSFKS,exclude_from_task_level_inference
TEV_ProtRec,False,3418,ENLSFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,874,ENLTFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1946,ENLVFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2514,ENLWFQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,2069,ENLYAQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,1653,ENLYCQS,eligible_for_formal_task_level_evaluation
TEV_ProtRec,False,3431,ENLYDQS,eligible_for_formal_task_level_evaluation
