dataset_id,role,source_type,analysis_allowed,tier,cited_by,note
TEM-1CML,strict_multi_task,author_deposit,True,B_materialized,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,"55,296 = 4x3^3x2^9 (measured per-position); topology degree 18; AMP 781 / AZT 36 pre-regis"
Phillips2023_HA_CH65,strict_multi_task,journal_source_data,True,B_materialized,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,2^16 complete; informative MA90 93.7% / G189E 82.6% / SI06 43.0%; floors 7.948/6.000/6.000
Phillips2021_CR9114,single_task_control,journal_source_data,True,B_materialized,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,h1 96.0% usable; h3 10.9% and fluB 0.3% EXCLUDED; NOT multi-task evidence (AMENDMENT-008 s
TrpB4_Johnston2024,single_task_control,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,"20^4=160,000 (159,129 measured); SRA PRJNA1127511; published per-starting-point max-fitnes"
Bank2016_Hsp90_Dryad,oracle_only,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,640 mutants / 6 sites; NOT a complete product space; CC0-1.0 verified by parent (AMENDMENT
Bank2016_Hsp90_GraphFLA,oracle_only,derived_aggregate,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,third-party repack: MUST NOT be re-packaged (C8-2 local-only) | v1.1 license field = repo 
CTXM14_woson2020,oracle_only,author_deposit,True,A_has_product,,DISTINCT dataset from Palzkill/PNAS2024 - must not be conflated; GitHub artifact local-onl
CTXM14_Palzkill2024,oracle_only,author_deposit,True,A_has_product,,ND clause: NO derived tables may be published; internal robustness only (C8-3); 17 sites /
PTE_karolbuda,oracle_only,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,9 substrate CSVs x 64 rows = complete 2^6; 6 positions; 9 exp replicate columns + 24 pte c
MPH_danderson8,oracle_only,author_deposit,True,A_has_product,AMENDMENT-007 强制 baseline; PHASE1_DECISION L119 基线集; oracle-only 角色; 单任务对照角色; 含'必须/必需'的要求,8 metal sheets (Mg/Cu/Ca/Mn/Zn/Cd/Ni/Co) x 202 genotype rows x 3 replicate columns; NOT a 
