dataset_id,task_id,role,measurement_modality,n_variants_total,n_variants_measured,measured_frac,exact_n,censored_n,boundary_ambiguous_n,missing_n,informative_n,informative_frac,uncertainty_available_n,uncertainty_coverage,floor_value,floor_status,floor_source,ceiling_status,boundary_evidence,notes
DAOx_multi_substrate,D-Ala,task_panel,functional,6417,6417,1.0,13146,0,0,0,13146,1.0,13146,1.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1）
DAOx_multi_substrate,D-Asn,task_panel,functional,6417,6417,1.0,13146,0,0,0,13146,1.0,13146,1.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1）
DAOx_multi_substrate,D-Gln,task_panel,functional,6417,6417,1.0,13146,0,0,0,13146,1.0,13146,1.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1）
DAOx_multi_substrate,D-Met,task_panel,functional,6417,6417,1.0,13146,0,0,0,13146,1.0,13146,1.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1）
DAOx_multi_substrate,D-Phe,task_panel,functional,6417,6417,1.0,13146,0,0,0,13146,1.0,13146,1.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1）
TEV_ProtRec,*NQYFQS,task_panel,functional,1,1,1.0,1,0,0,0,0,0.0,0,0.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1） | too_sparse_for_task_level_use (n_variants_measured=1 < 100)
TEV_ProtRec,ANLYFNS,task_panel,functional,604,604,1.0,604,0,0,0,0,0.0,0,0.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1）
TEV_ProtRec,ANLYFQS,task_panel,functional,990,990,1.0,990,0,0,0,0,0.0,0,0.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1）
TEV_ProtRec,CNLYFQS,task_panel,functional,3134,3134,1.0,3134,0,0,0,0,0.0,0,0.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1）
TEV_ProtRec,DNLIFQS,task_panel,functional,510,510,1.0,510,0,0,0,0,0.0,0,0.0,,unresolved,none,not_documented,none,floor/ceiling 未文档化 -> unresolved：不产出 censored 与 boundary_ambiguous（AMENDMENT-011 §1）
