dataset_id,protein_or_system,source_type,original_deposit_url,fetched_url,paper_license,source_data_license,code_license,analysis_allowed,redistribution_allowed,redistribution_basis,role,theoretical_space_size,complete_product,observed_genotype_count,notes
TEM-1CML,TEM-1 beta-lactamase,author_deposit,https://github.com/msadikyildiz/Gaszek_Yildiz_Meng_2025 | https://doi.org/10.5281/zenodo.21442350,local clone: <PROJECT_ROOT>/data/external/TEM1_Gaszek2025,CC BY-NC-ND 4.0 (Crossref verified),GPL-3.0,GPL-3.0,TRUE,TRUE,"ingested artifact = author GitHub repo whose LICENSE file is GPL-3.0 (local clone verified, 35,823 B); paper is CC BY-NC-ND but the data files are governed by the repository license",strict_multi_task,55296,TRUE,55296,"55,296 = 4x3^3x2^9 (measured per-position); topology degree 18; AMP 781 / AZT 36 pre-registered; triplicate; processed wide table has 55,294 rows (3 real genotypes absent; XXXXXXXXXXXXX = dead anchor row present) | v1.1 license field = GPL-3.0"
Phillips2023_HA_CH65,influenza HA receptor binding site (CH65),journal_source_data,https://doi.org/10.7554/eLife.83628,https://cdn.elifesciences.org/articles/83628/elife-83628-fig1-data1-v3.xlsx,CC BY 4.0 (Crossref verified),CC BY 4.0,,TRUE,TRUE,eLife article and its source-data files are CC BY 4.0 (Crossref verified); ingested artifact = cdn.elifesciences.org source-data xlsx,strict_multi_task,65536,TRUE,65536,2^16 complete; informative MA90 93.7% / G189E 82.6% / SI06 43.0%; floors 7.948/6.000/6.000; rep x2 + SEM; expression axis 100% usable (SEM median 0.019) | v1.1 license field = CC BY 4.0
Phillips2021_CR9114,influenza HA (CR9114),journal_source_data,https://doi.org/10.7554/eLife.71393,https://cdn.elifesciences.org/articles/71393/elife-71393-fig1-data1-v2.csv,CC BY 4.0 (Crossref verified),CC BY 4.0,,TRUE,TRUE,eLife article and its source-data files are CC BY 4.0 (Crossref verified); ingested artifact = cdn.elifesciences.org source-data csv,single_task_control,65536,TRUE,65536,h1 96.0% usable; h3 10.9% and fluB 0.3% EXCLUDED; NOT multi-task evidence (AMENDMENT-008 s3); noise calibration bed (rep x3 + SEM) | v1.1 license field = CC BY 4.0
TrpB4_Johnston2024,TmTrpB,author_deposit,https://doi.org/10.22002/h5rah-5z170,https://data.caltech.edu/records/h5rah-5z170,CC BY-NC-ND 4.0 (Crossref verified),CC0-1.0,,TRUE,TRUE,"CaltechDATA record license field = CC0-1.0 (verified); ingested artifact = the CaltechDATA deposit, NOT the PNAS article (which is NC-ND)",single_task_control,160000,FALSE,159129,"20^4=160,000 (159,129 measured); SRA PRJNA1127511; published per-starting-point max-fitness ECDF + 3 DE methods + accessible-path scan + noise null model -> C6a reproduction gate | v1.1 license field = CC0-1.0"
Bank2016_Hsp90_Dryad,Hsp90,author_deposit,https://doi.org/10.5061/dryad.th0rj,https://doi.org/10.5061/dryad.th0rj,PNAS user license (no CC in Crossref),CC0-1.0,,TRUE,TRUE,Dryad dataset API v2 license field = CC0-1.0 (verified 2026-09-19); ingested artifact = the Dryad deposit itself,oracle_only,,FALSE,640,640 mutants / 6 sites; NOT a complete product space; CC0-1.0 verified by parent (AMENDMENT-008 s2.0) | v1.1 license field = CC0-1.0
Bank2016_Hsp90_GraphFLA,Hsp90 (third-party repack),derived_aggregate,https://doi.org/10.5061/dryad.th0rj,https://github.com/COLA-Laboratory/GraphFLA (data/BioSequence/Bank2016_*),PNAS user license (no CC in Crossref),not stated (third-party repack),"MIT (GraphFLA repo; covers code only, not the data files)",TRUE,FALSE,"third-party repack (GraphFLA) -> must not be re-packaged (C8-2); GraphFLA repo MIT covers code only, underlying data license not stated",oracle_only,,FALSE,640,third-party repack: MUST NOT be re-packaged (C8-2 local-only) | v1.1 license field = repo MIT covers code only; underlying data license not stated
CTXM14_woson2020,CTX-M-14 beta-lactamase,author_deposit,https://doi.org/10.1093/molbev/msac086,https://github.com/woson2020/CTXM-14,CC BY 4.0 (Crossref verified),NONE (repo has NO LICENSE file),,TRUE,FALSE,paper CC BY 4.0 (Crossref verified) but ingested artifact = author GitHub repo with NO LICENSE file -> C8-2 local-only,oracle_only,,FALSE,,DISTINCT dataset from Palzkill/PNAS2024 - must not be conflated; GitHub artifact local-only (C8-2) | v1.1 license field = paper CC BY 4.0; repository has NO LICENSE file
CTXM14_Palzkill2024,CTX-M-14 beta-lactamase,author_deposit,https://doi.org/10.1073/pnas.2313513121,https://github.com/Palzkill-Lab/CTXM_epistasis,CC BY-NC-ND 4.0 (Crossref verified),NONE (repo has NO LICENSE file),,TRUE,FALSE,paper CC BY-NC-ND (ND forbids derivative redistribution) and author repo has NO LICENSE file -> C8/ND local-only; distinct dataset from woson2020,oracle_only,,FALSE,49096,"ND clause: NO derived tables may be published; internal robustness only (C8-3); 17 sites / 49,096 double mutants; Hamming-2 only | v1.1 license field = CC BY-NC-ND"
PTE_karolbuda,phosphotriesterase (PTE),author_deposit,https://doi.org/10.64898/2026.07.02.736193,https://github.com/karolbuda/rba-error-propagation,"CC BY 4.0 (bioRxiv preprint, per earlier survey)",NONE (repo has NO LICENSE file),,TRUE,FALSE,preprint CC BY 4.0 but ingested artifact = author GitHub repo with NO LICENSE file -> C8-2 local-only,oracle_only,64,TRUE,64,9 substrate CSVs x 64 rows = complete 2^6; 6 positions; 9 exp replicate columns + 24 pte columns; B <= 16 (OP-21); local-only | v1.1 license field = preprint CC BY; repository has NO LICENSE file
MPH_danderson8,methyl parathion hydrolase (MPH),author_deposit,https://doi.org/10.5281/zenodo.4552583,https://github.com/danderson8/MPH_Epistasis,NOT VERIFIED,NONE (repo has NO LICENSE file),,TRUE,FALSE,author GitHub repo has NO LICENSE file and the Zenodo record license was not read -> C8-2 local-only,oracle_only,,FALSE,202,8 metal sheets (Mg/Cu/Ca/Mn/Zn/Cd/Ni/Co) x 202 genotype rows x 3 replicate columns; NOT a clean product space; local-only | v1.1 license field = NO LICENSE FILE (repo) and not stated in Zenodo record
Kosterlitz_blaTEM,TEM-1 blaTEM (multi-host),author_deposit,https://doi.org/10.5281/zenodo.10045641,https://github.com/livkosterlitz/crowdsourcing,CC BY 4.0 (Crossref verified),NONE (repo has NO LICENSE file),,TRUE,FALSE,Zenodo deposit 10045641 license = cc-by-4.0 (verified) BUT the ingested artifact is the author GitHub repo with NO LICENSE file -> C8-2 local-only for the ingested copy,oracle_only,32,TRUE,32,32 genotypes (2^5) x 3 hosts (Ec/Kp/Se) x ~29 CTX concentrations (87 treatments); pooled competition assay -> assay-context caveat; local-only | v1.1 license field = NO LICENSE FILE (repo); Zenodo license not verified in M1
