dataset_id,protein_or_system,role,source_type,official_source,paper_license,source_data_license,analysis_allowed,redistribution_allowed,redistribution_basis,theoretical_space_size,complete_product,observed_genotype_count
TEM-1CML,TEM-1 beta-lactamase,strict_multi_task,author_deposit,https://github.com/msadikyildiz/Gaszek_Yildiz_Meng_2025 | https://doi.org/10.5281/zenodo.21442350,CC BY-NC-ND 4.0 (Crossref verified),GPL-3.0,TRUE,TRUE,"ingested artifact = author GitHub repo whose LICENSE file is GPL-3.0 (local clone verified, 35,823 B); paper is CC BY-NC-ND but the data files are governed by the repository license",55296,TRUE,55296
Phillips2023_HA_CH65,influenza HA receptor binding site (CH65),strict_multi_task,journal_source_data,https://doi.org/10.7554/eLife.83628,CC BY 4.0 (Crossref verified),CC BY 4.0,TRUE,TRUE,eLife article and its source-data files are CC BY 4.0 (Crossref verified); ingested artifact = cdn.elifesciences.org source-data xlsx,65536,TRUE,65536
Phillips2021_CR9114,influenza HA (CR9114),single_task_control,journal_source_data,https://doi.org/10.7554/eLife.71393,CC BY 4.0 (Crossref verified),CC BY 4.0,TRUE,TRUE,eLife article and its source-data files are CC BY 4.0 (Crossref verified); ingested artifact = cdn.elifesciences.org source-data csv,65536,TRUE,65536
TrpB4_Johnston2024,TmTrpB,single_task_control,author_deposit,https://doi.org/10.22002/h5rah-5z170,CC BY-NC-ND 4.0 (Crossref verified),CC0-1.0,TRUE,TRUE,"CaltechDATA record license field = CC0-1.0 (verified); ingested artifact = the CaltechDATA deposit, NOT the PNAS article (which is NC-ND)",160000,FALSE,159129
Bank2016_Hsp90_Dryad,Hsp90,oracle_only,author_deposit,https://doi.org/10.5061/dryad.th0rj,PNAS user license (no CC in Crossref),CC0-1.0,TRUE,TRUE,Dryad dataset API v2 license field = CC0-1.0 (verified 2026-09-19); ingested artifact = the Dryad deposit itself,,FALSE,640
Bank2016_Hsp90_GraphFLA,Hsp90 (third-party repack),oracle_only,derived_aggregate,https://doi.org/10.5061/dryad.th0rj,PNAS user license (no CC in Crossref),not stated (third-party repack),TRUE,FALSE,"third-party repack (GraphFLA) -> must not be re-packaged (C8-2); GraphFLA repo MIT covers code only, underlying data license not stated",,FALSE,640
CTXM14_woson2020,CTX-M-14 beta-lactamase,oracle_only,author_deposit,https://doi.org/10.1093/molbev/msac086,CC BY 4.0 (Crossref verified),NONE (repo has NO LICENSE file),TRUE,FALSE,paper CC BY 4.0 (Crossref verified) but ingested artifact = author GitHub repo with NO LICENSE file -> C8-2 local-only,,FALSE,
CTXM14_Palzkill2024,CTX-M-14 beta-lactamase,oracle_only,author_deposit,https://doi.org/10.1073/pnas.2313513121,CC BY-NC-ND 4.0 (Crossref verified),NONE (repo has NO LICENSE file),TRUE,FALSE,paper CC BY-NC-ND (ND forbids derivative redistribution) and author repo has NO LICENSE file -> C8/ND local-only; distinct dataset from woson2020,,FALSE,49096
PTE_karolbuda,phosphotriesterase (PTE),oracle_only,author_deposit,https://doi.org/10.64898/2026.07.02.736193,"CC BY 4.0 (bioRxiv preprint, per earlier survey)",NONE (repo has NO LICENSE file),TRUE,FALSE,preprint CC BY 4.0 but ingested artifact = author GitHub repo with NO LICENSE file -> C8-2 local-only,64,TRUE,64
MPH_danderson8,methyl parathion hydrolase (MPH),oracle_only,author_deposit,https://doi.org/10.5281/zenodo.4552583,NOT VERIFIED,NONE (repo has NO LICENSE file),TRUE,FALSE,author GitHub repo has NO LICENSE file and the Zenodo record license was not read -> C8-2 local-only,,FALSE,202
